all																						
34																						
Locus_3																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
8	27	45	47	41	54	37	66	46	72	70	64	69	64	75	58	77	62	65	74	63	38	36
80	80	80	80	80	80	58	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	38
Locus_4																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
45	24	58	40	29	19	22	67	42	64	69	70	78	66	74	63	77	64	77	73	80	32	32
74	74	78	78	78	80	52	80	48	80	76	72	80	70	78	64	80	64	80	76	80	40	40
Locus_6																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
0	28	21	14	17	40	13	36	33	52	48	52	61	55	54	52	68	43	46	68	64	28	38
78	80	80	80	80	80	56	84	48	84	80	72	80	70	80	64	80	64	80	78	80	40	38
Locus_10																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
15	33	78	35	45	59	48	83	50	80	80	74	80	70	80	61	80	64	80	78	80	40	40
80	80	80	80	80	80	54	86	50	80	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_11																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
43	54	58	46	40	59	46	73	44	83	79	74	80	66	80	64	76	64	80	78	80	40	40
80	80	80	80	80	80	58	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_13																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
15	23	59	4	35	34	44	83	50	82	58	64	72	67	72	60	71	63	69	53	80	40	40
80	80	80	80	80	80	58	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_14																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
8	6	32	33	44	36	40	67	47	79	70	69	77	64	75	61	53	63	60	78	80	40	40
68	80	80	80	74	72	54	84	50	86	80	74	80	70	80	64	74	64	76	78	80	40	40
Locus_15																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
9	23	59	20	13	27	32	78	46	80	80	70	80	70	80	64	80	63	80	78	80	40	40
80	80	80	80	80	80	58	86	48	84	80	70	80	70	80	64	80	64	80	78	80	40	40
Locus_16																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
45	42	57	27	25	34	31	79	48	71	80	74	80	70	80	64	80	63	80	78	80	40	40
80	80	80	78	80	80	58	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_17																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
13	11	77	10	19	33	31	76	45	81	80	74	80	70	80	64	80	64	80	78	80	40	40
80	80	80	80	80	80	58	84	50	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_19																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
17	28	46	24	38	56	21	64	38	70	78	69	75	70	79	64	80	64	79	77	78	27	33
80	80	80	80	80	80	36	86	48	84	80	72	78	70	80	64	80	64	80	78	78	40	36
Locus_20																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
16	27	42	24	38	55	26	62	35	70	74	71	71	70	79	64	80	64	77	75	80	24	33
78	78	76	80	80	80	54	84	44	86	76	74	74	70	80	64	80	64	78	76	80	38	38
Locus_21																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
16	28	46	23	37	56	24	64	37	71	76	71	73	70	79	64	80	64	79	77	80	26	35
76	80	80	72	78	80	46	86	48	86	78	74	76	70	80	64	80	64	80	78	80	38	40
Locus_22																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
15	0	22	5	1	17	29	55	32	47	64	65	75	56	68	60	65	59	68	48	18	25	16
80	80	80	80	80	78	58	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	38
Locus_24																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
65	29	64	24	24	52	44	82	48	81	80	74	80	70	80	64	80	64	80	78	80	40	40
80	80	80	80	80	78	58	86	48	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_26																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
70	54	58	70	66	55	15	22	16	13	10	16	10	20	9	20	6	6	6	11	0	1	1
72	80	72	76	76	74	54	74	44	82	78	74	80	70	80	64	80	64	78	76	80	38	40
Locus_27																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
0	2	0	1	1	4	7	65	35	59	68	58	68	68	65	56	75	43	65	38	80	39	37
78	80	80	80	80	80	52	82	50	80	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_28																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
19	62	77	29	38	49	29	71	46	72	80	74	80	70	80	64	80	64	80	78	80	40	40
80	80	80	80	80	80	56	86	50	86	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_29																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
19	62	77	29	38	49	29	71	46	72	80	72	80	70	80	64	80	64	80	78	80	40	40
80	80	80	80	80	78	56	86	50	84	80	72	80	70	80	64	80	64	80	78	80	40	40
Locus_30																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
38	17	47	25	27	34	14	74	45	59	72	62	73	63	73	54	68	63	69	77	58	32	40
80	80	80	80	80	80	56	86	50	84	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_32																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
32	39	58	44	49	40	25	80	42	56	80	74	80	70	80	58	80	54	80	78	80	40	40
80	80	80	80	80	80	56	86	50	64	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_34																						
23																						
0	91	277	336	592	1067	1574	3054	3471	4096	5703	5724	5818	6477	6576	6659	6930	6940	7065	7146	7851	7984	7984
49	50	29	17	45	65	50	81	46	65	80	74	80	70	80	64	80	63	80	78	80	40	40
80	80	80	76	80	80	56	86	50	76	80	74	80	70	80	64	80	64	80	78	80	40	40
Locus_35																						
23																						
