all																		
28																		
Locus_2																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
50	70	78	39	13	10	10	4	18	17	4	0	24	3	18	0	25	6	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_3																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
70	56	30	14	4	10	10	11	20	6	5	6	3	2	15	4	17	2	2
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	38
Locus_4																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
10	77	68	16	6	7	2	2	13	4	4	1	3	0	3	3	0	8	8
78	80	78	80	48	76	72	80	80	70	78	64	80	64	80	76	80	40	40
Locus_5																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
53	75	45	29	2	15	21	9	9	3	11	0	19	0	8	2	0	1	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_6																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
79	80	80	32	15	32	20	19	48	15	26	12	12	21	34	10	16	12	0
80	80	80	84	48	80	72	80	84	70	80	64	80	64	80	78	80	40	38
Locus_7																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
71	63	32	11	0	0	0	0	5	0	0	11	0	1	0	0	0	0	0
80	80	80	82	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_8																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
78	63	66	16	11	13	3	14	23	12	9	11	15	8	12	9	39	0	6
80	80	80	86	50	80	70	80	86	70	80	64	80	64	80	78	78	40	38
Locus_9																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
44	25	51	2	13	0	0	1	11	0	0	0	0	1	0	0	0	0	0
80	80	80	66	46	80	72	78	80	70	80	64	80	64	80	78	80	40	38
Locus_11																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
42	68	74	3	6	1	0	0	13	4	0	0	4	0	0	0	0	0	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_12																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
62	65	67	26	7	16	7	8	5	9	4	0	4	0	7	33	22	23	20
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	78	40	40
Locus_18																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
60	68	59	11	7	16	28	27	11	13	16	0	19	3	25	7	19	1	0
80	80	80	86	50	80	74	80	78	70	80	64	80	64	80	78	78	40	36
Locus_22																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
42	70	61	39	18	16	9	5	31	14	12	4	15	5	12	30	62	15	22
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	38
Locus_23																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
36	71	60	14	6	7	2	10	2	4	5	10	3	5	9	2	0	1	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_25																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
48	35	66	14	0	2	10	7	9	3	9	0	3	0	7	3	0	3	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_26																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
27	62	48	13	16	10	16	10	22	20	9	20	6	6	6	11	0	1	1
74	80	78	82	44	78	74	80	74	70	80	64	80	64	78	76	80	38	40
Locus_30																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
54	71	38	25	5	8	12	7	12	7	7	10	12	1	11	1	22	8	0
80	80	80	84	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_31																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
57	64	35	16	7	9	3	2	9	5	7	8	2	1	3	0	0	2	0
80	76	80	84	48	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_33																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
48	75	64	8	5	14	10	6	6	3	1	3	3	11	8	30	0	4	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_35																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
53	49	73	23	15	2	1	0	9	1	0	0	0	0	3	15	0	6	0
80	80	80	84	50	80	74	80	84	70	80	64	80	64	80	78	80	40	40
Locus_36																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
64	71	70	28	10	10	8	12	13	7	10	2	7	0	8	21	0	3	0
70	80	80	84	50	80	74	80	86	70	80	64	80	64	80	78	80	40	38
Locus_37																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
64	46	51	9	4	11	6	11	6	15	7	0	8	0	11	6	0	0	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_40																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
4	54	57	2	9	0	6	3	12	0	0	0	1	0	2	0	0	0	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_41																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
3	48	25	20	20	5	5	5	30	0	12	2	8	7	4	8	0	10	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_42																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
70	70	74	23	9	7	7	1	17	10	2	29	5	0	4	1	0	1	7
80	80	80	86	50	80	74	80	86	68	80	64	80	64	78	78	80	40	38
Locus_47																		
19																		
0	153	534	2401	3026	3206	3227	3321	3443	3980	4079	4162	4433	4443	4568	4649	5354	5487	5487
56	39	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
80	80	80	86	50	80	74	80	86	70	80	64	80	64	80	78	80	40	40
Locus_48																		
19																		
